,Unnamed: 0,play_id,game_id,yardline_100,quarter_seconds_remaining,drive,sp,qtr,down,goal_to_go,ydstogo,ydsnet,play_type,yards_gained,yards_after_catch,home_timeouts_remaining,away_timeouts_remaining,timeout,total_home_score,total_away_score,score_differential,td_prob,ep,epa,wp,wpa,first_down_rush,first_down_pass,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_lost,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,fumble,complete_pass,lateral_reception,lateral_rush,fumble_recovery_1_yards,fumble_recovery_2_yards
epa,0.009138428,-0.012146174,0.009258265,0.008909307,0.007854484,-0.013655408,0.204237049,-0.011406155,-0.004636661,0.002295929,-0.021805593,0.217295635,-0.021687043,0.631618507,0.365301143,0.009051266,0.01105848,-0.001306746,0.011708522,0.011507291,-0.000764555,-0.015810591,-0.040354865,1,-0.011597331,0.740984344,0.222320667,0.511572781,0.353295871,-0.309517753,0.14737678,-0.135543678,-0.262303189,-0.339635114,-0.202431441,-0.046170918,-0.23916808,-0.030229483,0.010753281,-0.217483318,0.260834998,0.310011513,0.146633148,-0.192386274,0.384964815,-0.002349778,0.00479841,-0.150756278,-0.019244188
wpa,0.003263535,-0.015556612,0.003386798,0.024674883,0.028409017,-0.016760612,0.160374162,-0.008985962,0.058408396,-0.002873424,-0.002381988,0.154642095,0.010074285,0.482042864,0.278382047,0.018071971,0.018634809,-0.008987489,-0.001611339,0.003536314,-0.005075402,-0.02945016,-0.070419341,0.740984344,-0.024288496,1,0.163957898,0.395762078,0.27431446,-0.244034192,0.108902682,-0.068546754,-0.225923431,-0.218405364,-0.132345388,-0.02675233,-0.153494276,-0.027384713,-0.008040741,-0.167273146,0.212033402,0.242546073,0.098328163,-0.12394947,0.287338659,-0.00666585,0.004060089,-0.091923185,-0.016374222
yards_gained,0.001766266,-0.025130985,0.001981341,0.151121493,0.045245758,-0.02137308,0.064736414,-0.014493977,0.038067021,-0.068823716,0.175077707,0.258574219,-0.185711463,1,0.612639874,0.047463692,0.048874099,-0.091555381,-0.007588736,-0.00643412,-0.02169442,0.118561174,0.029061194,0.631618507,0.005122186,0.482042864,0.226137392,0.625632299,0.280646922,-0.124266073,0.052685999,-0.039713152,-0.198517193,-0.050529912,-0.037020509,-0.030290831,-0.029051264,0.02564086,0.254413208,-0.217228835,0.22966814,0.251799663,0.073949714,-0.047624306,0.54674144,0.009569752,-0.00010701,-0.013264891,-0.001860275
first_down_pass,0.00597846,-0.004059318,0.006631928,0.06561686,0.009399435,-0.00656215,0.084722482,-0.001134767,0.11194142,0.002118764,0.029658437,0.208689018,-0.226532884,0.625632299,0.506122574,0.014273926,0.018781706,-0.071201326,0.007193735,0.006754621,-0.057315368,0.094480523,0.049937553,0.511572781,-0.033210603,0.395762078,-0.106199841,1,0.433898848,-0.125727172,0.085009424,-0.029189205,-0.158468176,-0.040315681,-0.024034856,-0.02309714,-0.032668938,-0.260888416,0.465299,-0.064846882,0.234867586,0.334935232,-0.037549822,-0.032922024,0.697995079,0.006891438,-0.002430341,-0.010860447,-0.001248526
complete_pass,0.013850563,-0.012513934,0.014738247,0.1264381,0.019276391,-0.013787301,-0.001671953,-0.00719963,0.097486949,-0.019523613,0.201999179,0.155736217,-0.324572823,0.54674144,0.531363064,0.030173374,0.033042628,-0.105657049,-0.005278752,-0.006228187,-0.087108333,0.116462967,0.041927138,0.384964815,-0.054283269,0.287338659,-0.152159722,0.697995079,0.283517974,-0.019513202,0.049615373,-0.02676801,-0.22700237,-0.057705344,0.002767941,-0.028029294,-0.002363344,-0.373747425,0.66663098,-0.092900454,0.145381183,0.233793318,-0.053794345,-0.013885304,1,0.025552947,-0.003481737,0.00390616,-0.000810241
yards_after_catch,0.008774833,-0.016085532,0.009352652,0.107909259,0.022013125,-0.015089608,0.027925144,-0.01088337,0.047094244,-0.050024949,0.124935793,0.149230367,-0.172467425,0.612639874,1,0.026347949,0.028129372,-0.058661167,-0.004678118,-0.003919916,-0.031288177,0.047408057,-0.01306879,0.365301143,-0.018660989,0.278382047,-0.080827161,0.506122574,0.17517757,-0.03409733,0.020081609,-0.018689206,-0.120654458,-0.030736987,-0.000725054,-0.016206697,-0.004232426,-0.198602301,0.35422308,-0.04936387,0.121975723,0.182128309,-0.028584328,-0.009797293,0.531363064,-0.001165887,-0.001850067,-0.001860583,-0.001173278
third_down_converted,-0.001937132,-0.019268842,-0.001833276,0.017677189,0.018162888,-0.022543663,0.041953512,-0.012760792,0.276355943,0.000504577,-0.105354904,0.113821661,-0.100673125,0.280646922,0.17517757,0.023315037,0.022728378,-0.042241567,-0.012150274,-0.01472194,0.004229387,0.033515144,-0.000779462,0.353295871,0.016589335,0.27431446,0.199142068,0.433898848,1,-0.07899385,-0.017973927,-0.018360127,-0.099673313,-0.025358726,-0.014974797,-0.013800268,-0.020548894,-0.01922985,0.157658406,-0.040491512,0.130103397,0.139827676,0.042800381,-0.02024776,0.283517974,-0.000308067,0.004654051,-0.006728482,-0.000785328
pass_touchdown,0.003838062,0.004314697,0.004061091,-0.149347929,-0.010941253,-0.004431991,0.474737949,0.003460167,0.037341566,0.210918838,-0.01295847,0.20392588,-0.075887525,0.251799663,0.182128309,-0.003879757,-0.00178428,-0.025227254,0.038714683,0.034313188,-0.011857682,0.136953972,0.171786389,0.310011513,0.019748334,0.242546073,-0.035578767,0.334935232,0.139827676,-0.042133093,0.05226267,-0.009776493,-0.053039683,-0.013503142,-0.012817203,-0.008011347,-0.010941978,-0.087390207,0.155853869,-0.021719505,0.771871233,1,-0.012576758,-0.015102785,0.233793318,0.000451924,-0.000814007,-0.00377452,-0.000418175
touchdown,0.001427221,0.001637717,0.00139463,-0.188733027,-0.005811011,-0.008132585,0.615082165,0.002890041,0.038826226,0.322032835,-0.043861782,0.226291487,-0.060172291,0.22966814,0.121975723,0.000305976,0.004377779,-0.032468595,0.047165175,0.041571051,-0.005066622,0.213491116,0.227604119,0.260834998,0.03696098,0.212033402,0.169193573,0.234867586,0.130103397,-0.04307694,0.064113436,-0.009392739,-0.068741198,0.049718388,0.015634052,-0.000246907,0.027637804,0.006141149,0.082362199,-0.017186936,1,0.771871233,0.554265341,0.012236333,0.145381183,0.003063148,-0.001054589,0.08331913,0.011210188
first_down_rush,-0.001926963,-0.026897345,-0.002549957,-0.007143971,0.038112892,-0.025221224,0.063710057,-0.015803047,0.069794567,0.053034737,-0.11019578,0.1146062,0.014542831,0.226137392,-0.080827161,0.041747613,0.039442023,-0.052791792,-0.014067083,-0.013492742,0.026764826,0.176338952,0.128193179,0.222320667,0.061079358,0.163957898,1,-0.106199841,0.199142068,-0.085558379,0.114171035,-0.019739144,-0.107819608,-0.027430257,-0.015298551,-0.014560207,-0.022227514,0.406874395,-0.228102964,-0.043676649,0.169193573,-0.035578767,0.353490567,-0.020938061,-0.152159722,-0.003888658,0.012777357,-0.005781993,-0.000849481
