,Unnamed: 0,play_id,game_id,yardline_100,quarter_seconds_remaining,drive,sp,qtr,down,goal_to_go,ydstogo,ydsnet,play_type,yards_gained,yards_after_catch,home_timeouts_remaining,away_timeouts_remaining,timeout,total_home_score,total_away_score,score_differential,td_prob,ep,epa,wp,wpa,first_down_rush,first_down_pass,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,fumble_forced,fumble_not_forced,fumble_lost,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,fumble,complete_pass,lateral_reception,lateral_rush,fumble_recovery_1_yards,fumble_recovery_2_yards
Unnamed: 0,1.0,0.010664431039555987,0.9954502076905868,0.0016794633083121874,-0.009988788693857446,-0.022846387132403497,0.0007052010844993553,0.0010684895445002747,-0.010123599126905646,0.0007503997931376441,0.000641687975869191,0.10416047371254362,-0.0024921871271533546,0.0017662660237465415,0.008774833039591224,0.009656190805366827,0.01280898806099611,0.0014662449863087638,0.026534494965617324,0.005164306373235723,-0.00641358045903537,-0.002679534641893271,0.004322895771204776,0.009138427622612253,-0.007589979282907506,0.003263534701173484,-0.001926962645045841,0.0059784604197026855,-0.0019371318301580718,-0.006444977694176442,0.002128328654674384,-0.0014061222234706104,-0.007553936220567415,-0.008458373261652899,-0.006418144840256071,-0.00222208542050376,-0.007572960072911051,-0.013455125713741755,0.0068689743650736075,0.0035082338303312082,0.0014272210368161788,0.003838061581536503,8.709568366913288e-05,-0.0062562694102339484,0.013850562904989414,0.00295554553167698,0.00016841807258493281,-0.00021849445879856496,-0.00017150347580378733
play_id,0.010664431039555987,1.0,0.010996746870015355,-0.0727487210024423,-0.2749453507258987,0.9621196749055209,0.001767040282458236,0.954770753341412,-0.03366056954821629,0.012262317641345047,-0.03146863719103007,0.011657255494505473,0.04698490643282272,-0.025130985059056154,-0.016085531707943482,-0.32961679115709985,-0.3272776010021237,0.09155255631847227,0.6975890960614535,0.6907797345033717,-0.021379331922908903,-0.19209969379701147,-0.0034186768295851274,-0.012146174153185696,-0.026061089148583676,-0.015556612192090931,-0.026897345436851492,-0.004059317879309249,-0.019268841705246273,0.002009928795505268,0.03245972497060509,0.057799086783379305,0.014647245788562302,0.014770798773395625,0.001146986223702945,-0.002236413006924497,0.00028283335316025735,-0.0409687484603897,0.006250958492551848,0.004695151755339246,0.0016377170261790098,0.004314696786839545,-0.002944764292056358,-0.00041914304233059527,-0.012513934178618095,0.020551243024926474,-0.0012776160575095332,0.00030231270092225405,0.0012296410212263467
game_id,0.9954502076905868,0.010996746870015355,1.0,0.001684048015981601,-0.010136835444539525,-0.02317621970865775,0.0007391880614666546,0.0008752780355467,-0.010570159800643781,0.0007282643622117018,0.0008690977034752706,0.10551105995118074,-0.002571997401368264,0.001981340620189331,0.009352652037871756,0.00812390953566133,0.01209496096812394,0.0016392577036015163,0.02577656633043155,0.005967330179662137,-0.006542162433896574,-0.002857096384075228,0.004248235162439334,0.009258264841215263,-0.00788376391176832,0.003386797738892017,-0.0025499566123280653,0.00663192815722351,-0.0018332763482990886,-0.006804592301246637,0.0017233930651884125,-0.0018776518687334135,-0.007830334562190148,-0.008494043210773619,-0.0062349343105816465,-0.002093357947945196,-0.007291925038974451,-0.014418430629703523,0.007413640892657815,0.00341769764355064,0.001394629741460489,0.004061090565541493,-0.0003030229719984781,-0.006042260440475303,0.014738246874622557,0.002962239237563845,0.0002854446393156036,0.00015037108055756355,-3.4449273481572866e-05
yardline_100,0.0016794633083121874,-0.0727487210024423,0.001684048015981601,1.0,0.14628075470754986,-0.034952356214367646,-0.3544544911068051,-0.04743188916286781,0.18533910311520987,-0.3732598198616292,0.3791797422106213,-0.5498590085892571,-0.011842484787290245,0.15112149260112065,0.10790925939141949,0.08838836267435728,0.08205933348622824,-0.022598759365887653,-0.06047323810566516,-0.05914911084804539,-0.040961617137234105,-0.1539482929714195,-0.6513356107145768,0.008909307383951879,-0.048156634141808055,0.024674883145234906,-0.007143971249254598,0.06561685983591808,0.017677188561917002,0.039226743493712496,-0.0351516568963336,-0.03315570535074813,0.03530991697418659,0.018314116311353903,0.01791852341970003,0.020889936289989332,0.015128494716344705,0.08618927523926745,0.14669185604880583,0.03848368174990073,-0.18873302661440872,-0.14934792851354617,-0.1396489408759778,0.026752883288302044,0.1264381002239754,0.0114955324525195,6.955486764900264e-05,-0.0016891533127125203,-0.001966612806526366
quarter_seconds_remaining,-0.009988788693857446,-0.2749453507258987,-0.010136835444539525,0.14628075470754986,1.0,-0.25027571066821797,-0.022343955268726012,-0.03298117828177775,0.06784730705230306,-0.023199591935121288,0.08677501763892075,-0.06703471743171549,-0.057648997181909085,0.04524575812684447,0.02201312459810775,0.36922007999512657,0.37249168188147885,-0.1448416408713805,-0.1900140163306248,-0.18867363977603246,0.013874557835376587,0.3281481983959641,0.007278563445422743,0.007854483571490939,0.04805999224693501,0.028409016850951742,0.03811289200368665,0.009399434648345008,0.01816288772552635,0.0058843859026427095,-0.015934834382563413,-0.03201319559690718,-0.00811327806303727,-0.0069018925801186005,0.007144870900455024,0.006508829096279882,0.0059947905251836854,0.08595120971802733,0.010097402945105725,0.0030182801321800043,-0.005811010951135291,-0.010941252816058636,0.0009860219176088118,0.00974642370807324,0.019276390675027885,-0.018565291420724526,-0.0015088039784183738,0.0016542961914088488,-0.0015568769333570614
drive,-0.022846387132403497,0.9621196749055209,-0.02317621970865775,-0.034952356214367646,-0.25027571066821797,1.0,-0.018204659551385404,0.9175401500043459,-0.04176690184201467,-0.006590710905650191,-0.022554921111977443,-0.044096704507439355,0.030996775853161466,-0.02137308028574602,-0.015089608089502066,-0.294282142852443,-0.2946269265975163,0.07812614891727376,0.6702399634451283,0.655668578699751,-0.01833780546102423,-0.17902290057100373,-0.026731073287947497,-0.013655408088253327,-0.026016190024299845,-0.01676061154653798,-0.025221223661641676,-0.0065621499566593244,-0.022543662687171607,-0.0017945738128010646,0.026900014685205358,0.051406153429653455,0.013197114181654798,0.014167965226496541,0.0017026504219506391,-0.0010152292937055634,0.0007257721563335923,-0.027888705122030576,0.0040240620088701105,0.005820776306878266,-0.008132585227688604,-0.004431991469013345,-0.008643420076147011,0.0007581778639948917,-0.01378730078269839,0.019290315736679785,-0.0015070359990451898,-0.0002583875306254952,0.0009298661306150391
sp,0.0007052010844993553,0.001767040282458236,0.0007391880614666546,-0.3544544911068051,-0.022343955268726012,-0.018204659551385404,1.0,-0.0004909415516922749,0.01689857874237055,0.23767838710215722,-0.17515069292517982,0.3378415390458865,0.2912746994771696,0.06473641425755758,0.02792514391787857,-0.014023220165826366,-0.007520115399734719,-0.05593894641956334,0.061927244730027774,0.056482948947328124,0.0632867038598886,-0.14640612089306412,0.13578376573016782,0.20423704883083227,0.09346330060557309,0.16037416193419368,0.0637100574179981,0.08472248246028913,0.041953512347054474,-0.08010595490808983,0.029116293091414745,-0.017545793430608882,-0.11141444478678482,0.014930084443919401,-0.005451690241305154,-0.009313512076881037,0.0038824582100612653,-0.10419468531969778,-0.08449279257506008,-0.03551475117854166,0.6150821652215956,0.4747379493684409,0.34094735819577465,-0.010086400565149903,-0.0016719534300668594,-0.00046194514488263373,-0.001714405760898048,0.04885641294848835,0.006687435254063725
qtr,0.0010684895445002747,0.954770753341412,0.0008752780355467,-0.04743188916286781,-0.03298117828177775,0.9175401500043459,-0.0004909415516922749,1.0,-0.01287438558627957,0.012062340313553258,-0.012817098138155113,0.008800427744801548,0.033980417273871515,-0.014493976958252334,-0.010883369825198708,-0.23533952736620892,-0.23651019420426517,0.059151964081297206,0.6587104655334186,0.6495874381901411,-0.015956524906409943,-0.11272612907419542,0.0097066739919421,-0.011406155135327164,-0.009208043987976667,-0.008985961870764505,-0.015803046734559817,-0.001134766676724788,-0.012760792005898872,0.005943391774024611,0.030313032054703818,0.05149185565933124,0.012563112946056462,0.012740426095736319,0.003007152390153611,-0.0011889300917350446,0.0018334199106169204,-0.019403650484707928,0.009455384568760179,0.006448369678848857,0.0028900405476193786,0.003460167390163224,-0.0004285597764398064,0.0017444783679465238,-0.0071996300449934,0.015483329858588047,-0.001863824073128004,0.0007310372223001408,0.0010200737676699081
down,-0.010123599126905646,-0.03366056954821629,-0.010570159800643781,0.18533910311520987,0.06784730705230306,-0.04176690184201467,0.01689857874237055,-0.01287438558627957,1.0,0.04627867240910827,0.23708002678430887,-0.0006568982211934336,0.06316086260676763,0.03806702101277439,0.04709424406125169,0.07532684835350728,0.06924229006948218,-0.27902366187271116,-0.05594456970908001,-0.055560977030944876,-0.0007806509151048958,0.00679379993964376,-0.13735241612240986,-0.004636660678549574,0.055852019924052754,0.058408395516002715,0.0697945667190068,0.11194141965958933,0.2763559428206541,0.3540392043198553,0.14217000131904783,0.14522476443857327,0.0958277824732264,0.029743374574560392,0.018327578997424158,0.04893221592442033,0.02151953833956205,-0.06378514579685714,0.1742670909660181,0.061011706010345744,0.038826225521733836,0.03734156552563889,0.006473362792657648,0.04302887373876994,0.09748694860891531,0.003867843898103205,0.0015888551376018944,0.005475715690440059,0.003478196541153305
goal_to_go,0.0007503997931376441,0.012262317641345047,0.0007282643622117018,-0.3732598198616292,-0.023199591935121288,-0.006590710905650191,0.23767838710215722,0.012062340313553258,0.04627867240910827,1.0,-0.08745953998165963,0.28491080199052304,0.01705960783173244,-0.06882371609038059,-0.05002494863835611,-0.014776285320534996,-0.013291961141114026,-0.03152098322385923,0.01334131881344907,0.011106873129773062,-9.601685785961491e-05,0.3544754200995356,0.4221883925319689,0.0022959291434082136,0.07753744259088734,-0.0028734242925632994,0.05303473666188394,0.002118763656792567,0.0005045769670982771,0.01036884147027663,0.01457987477414652,0.0217280448218692,0.03346273001466577,-0.0012706411575918505,-0.0031775590446447744,-0.0020287087666925187,-0.0005293162935623721,0.05699191848053097,0.003337440050058297,-0.008161422454055444,0.322032835235541,0.21091883844352932,0.2808243153227363,-0.004008719029889775,-0.019523613150268387,-0.0018530500353351673,0.00028283571537646314,0.0006611966443313903,0.004923462921757441
